sut_code,description_tr,category,retired_at
550680,Supraskapüler sinir bloğu,therapeutic,
550690,Çölyak/hipogastrik pleksus sinir bloğu,therapeutic,
550700,İmpar ganglion sinir bloğu,therapeutic,
550710,"Paravertebral torakal/lomber/psoas kompartman sinir bloğu, tek",therapeutic,
550720,Sfenopalatin gangliyon sinir bloğu,therapeutic,
550730,Splanknik blok,therapeutic,
550740,Stellat gangliyon sinir bloğu,therapeutic,
550750,Epidural blok (Kateter ve port veya pompa implantı),therapeutic,
550760,Epidural kan veya serum yaması,therapeutic,
550770,Kombine spinal epidüral analjezi veya blok (Kontinü),therapeutic,
550780,Lomber-kaudal epidural enjeksiyon veya kateterizasyon,therapeutic,
550790,Servikal-torakal epidural enjeksiyon veya kateterizasyon,therapeutic,
550800,"Spinal blok, kateter ve port veya pompa implantı ile",therapeutic,
550810,"Subaraknoid blok, lomber veya kaudal spinal blok ile",therapeutic,
550820,Subaraknoid kateterizasyon,therapeutic,
550830,Transforaminal anteriyor epidural enjeksiyon veya kateterizasyon,therapeutic,
550831,Perinöral kateterizasyon,therapeutic,
550840,Hipofiz adenolizisi,therapeutic,
550850,"Nörolitik sinir bloğu, subaraknoid",therapeutic,
550860,"Nörolitik sinir bloğu, epidural (Servikal-torakal)",therapeutic,
550870,"Nörolitik sinir bloğu, epidural (Lomber-kaudal)",therapeutic,
550880,"Nörolitik interkostal sinir bloğu, tek seviye",therapeutic,
550890,"Nörolitik interkostal sinir bloğu, ilave her seviye",therapeutic,
550900,Trigeminal/Gasser gangliyon sinir bloğu,therapeutic,
550910,Nörolitik Stellat gangliyon sinir bloğu,therapeutic,
550920,"Nörolitik sinir bloğu, paravertebral (Torakal-lomber)",therapeutic,
550930,Nörolitik Çölyak veya Hipogastrik sinir bloğu,therapeutic,
550940,Nörolitik İmpar gangliyon sinir bloğu,therapeutic,
550950,"Nörolitik periferik sinir bloğu, tek",therapeutic,
550960,Nörolitik Splanknik sinir bloğu,therapeutic,
550970,Anüloplasti RFT,therapeutic,
550981,"Faset Eklem RFT, tek",therapeutic,
550991,Glossofaringeal RFT,therapeutic,
551031,"Perkütan faset sinir denervasyon RFT, tek",therapeutic,
551032,"Perkütan faset sinir denervasyon Kriyoablasyon, tek",therapeutic,
551041,Perkütan intradiskal RFT,therapeutic,
551061,RFT Nörotomi,therapeutic,
551062,Kriyoablasyon Nörotomi,therapeutic,
551071,Sakroiliyak eklem RFT,therapeutic,
551072,Sakroiliyak eklem Kriyoablasyon,therapeutic,
551084,Servikal Dorsal Root Gangliyonu RFT,therapeutic,
551085,Torakal Dorsal Root Gangliyon (DRG)-RFT,therapeutic,
551086,Lomber Dorsal Root Gangliyon (DRG)-RFT,therapeutic,
551087,Sakral Dorsal Root Gangliyon (DRG) RFT,therapeutic,
551091,Spenopalatin gangliyon RFT,therapeutic,
551101,Stellat gangliyon RFT,therapeutic,
551110,Trigeminal veya Gasser gangliyon RFT,therapeutic,
551120,Epiduroskopi nöroplasti-adezyonolizis,therapeutic,
551130,Lomber-kaudal nöroplasti-adezyonolizis,therapeutic,
551140,Servikal-torakal nöroplasti-adezyonolizis,therapeutic,
551150,İmplantasyon port/rezervuar/pompa implant,therapeutic,
551160,İmplantasyon spinal-epidural,therapeutic,
551170,Nörostimülatör elektronik analiz/programlama,therapeutic,
551180,Nörostimülatör pulse jeneratör revizyonu/çıkartılması,therapeutic,
551190,Nörostimülatör pulse jeneratör yerleştirilmesi,therapeutic,
551200,Periferik sinir elektrot implantasyonu,therapeutic,
551210,Perkütan elektrot revizyonu veya çıkarılması,therapeutic,
551220,Perkütan nörostimülatör elektrot implantasyonu,therapeutic,
551230,Pompa veya port programlanması veya doldurulması,therapeutic,
551240,Port veya pompa revizyonu veya çıkarılması,therapeutic,
551250,Bispektral indeks (BİS) monitörizasyonu,therapeutic,
551251,Derin trakeal aspirasyon,therapeutic,
551260,"Epidural blok, kontinü",therapeutic,
551270,Epidural veya spinal diferensiyel blok,therapeutic,
551280,"Gastrik intramukozal pH, tonometri",therapeutic,
551290,Günlük yatan hasta ağrı takibi,therapeutic,
551300,İntravenöz lidokain testi,therapeutic,
551310,"İntraplevral kateterizasyon ile blok, kontinü",therapeutic,
551320,İntravenöz rejyonel blok (RİVA),therapeutic,
551330,Kontinü perinöral opiat analjezisi,therapeutic,
551340,SEDO-analjezi,therapeutic,
590001,Yenidoğan/Çocuk/ErişkinTedavisel soğutma (Terapötik hipotermi),therapeutic,
600010,"Dermabrazyon, bir alanda",surgical,
600020,"Dermabrazyon, tüm yüze",surgical,
600030,"İntralezyonel steroit enjeksiyonu, bir seans",surgical,
600040,Malign deri tümörlerinin eksizyonu,surgical,
600050,"Malign deri tümörlerinin eksizyonu, flep veya greft ile",surgical,
600060,"Malign deri tümörlerinin eksizyonu, primer sütür ile",surgical,
600070,"Seboreik keratoz gibi lezyonların tıraşlanarak çıkarılması, her bir seans",surgical,
600090,Yanıkta eskarektomi,surgical,
600091,Yanıkta toraks eskarektomisi,surgical,
600100,Yanıkta eskarotomi,surgical,
600110,Yanıkta fasiyotomi,surgical,
600111,Yanıkta fasiyotomi kapatma,surgical,
600120,Yanıkta tanjansiyel eksizyon ve deri grefti uygulaması,surgical,
600130,"Yanıkta tanjansiyel eksizyon ve deri grefti uygulaması, ilave her uygulama",surgical,
600140,Yaygın iyi huylu tümöral lezyonların elektrokoterizasyonu veya kriyoterapisi,surgical,
600150,"Yanaktan tümör eksizyonu, primer onarım",surgical,
600160,"Yanaktan tümör eksizyonu, flep ile onarım",surgical,
600170,Skar revizyonu,surgical,
600200,"Hemanjiyom, lenfanjiyom veya vasküler malformasyon eksizyonu",surgical,
600230,"Hemanjiyom, lenfanjiyom eksizyonu ve rekonstrüksiyonu, deri grefti ile",surgical,
600240,Vasküler malformasyonlar ve lenfanjiyom için sklerozan madde enjeksiyonu,surgical,
600250,"Split thickness deri grefti, küçük",surgical,
600260,"Split thickness deri grefti, orta",surgical,
600270,"Split thickness deri grefti, büyük",surgical,
600280,"Full thickness deri grefti, küçük",surgical,
600290,"Full thickness deri grefti, büyük",surgical,
600300,Kısmi kalınlıkta deri grefti ile defekt onarımı,surgical,
600330,"Kısmi kalınlıkta deri grefti ile defekt onarımı, ilave",surgical,
600350,Kompozit greft uygulaması,surgical,
600360,Mukoza grefti alınması,surgical,
600370,Tam kalınlıkta deri grefti ile defekt onarımı,surgical,
600400,Yağ grefti uygulaması,surgical,
600410,"Abbe flebi, birinci seans",surgical,
600420,"Abbe flebi, ikinci seans",surgical,
600430,Ada flep şeklinde fasiyokütan flepler,surgical,
600440,"Alın flebi, birinci seans",surgical,
600450,"Alın flebi, ikinci seans",surgical,
600460,Aynı alanda çoklu Z plasti teknikleri,surgical,
600470,"Çapraz bacak flebi, birinci seans",surgical,
600480,"Çapraz bacak flebi, ikinci seans",surgical,
600490,"Çapraz parmak flebi, birinci seans",surgical,
600500,"Çapraz parmak flebi, ikinci seans",surgical,
600510,"Dil flebi, birinci seans",surgical,
600520,"Dil flebi, ikinci seans",surgical,
600530,"Doku genişletme uygulamaları, birinci seans",surgical,
600540,"Doku genişletme uygulamaları, ikinci seans",surgical,
600550,Fasiyokütan flep,surgical,
600560,İki farklı doku içeren serbest kompozit flep,surgical,
600570,İki loblu flep,surgical,
600580,"İnterpolasyon flepleri, birinci seans",surgical,
600590,"İnterpolasyon flepleri, ikinci seans",surgical,
600600,Kas flebi,surgical,
600610,Kas flebi ile birlikte deri grefti,surgical,
600620,Kas-deri flebi,surgical,
600630,K-M plasti,surgical,
600640,"Limberg, Rhomboid, Karydakis flep ameliyatları",surgical,
600650,Mukoza flebi,surgical,
600660,Saçlı deri defektleri için rotasyon flebi,surgical,
600670,Saçlı deri defektleri için transpozisyon flebi ile birlikte deri grefti,surgical,
600680,Sakral defektler için bilateral V-Y ilerletme flebi,surgical,
600690,Tek bir doku içeren serbest flep,surgical,
600700,Tek loblu lokal deri flebi,surgical,
600710,Üç farklı dokuyu birlikte içeren serbest flep,surgical,
600720,V-Y ilerletme deri flebi,surgical,
600730,Z-Plasti (Bir tek Z-plasti),surgical,
600770,"Vasküler lezyon, eksizyonel lazer",surgical,
600800,Deri tümörlerinde eksizyonel lazer,surgical,
600830,"Pigmentli lezyon, eksizyonel olmayan lazer",surgical,
600860,"""Blow-out"" kırığı, orbita tabanına greft veya biyomateryal yerleştirilmesi",surgical,
600870,Etmoidal arter ligasyonu,surgical,
600880,"Frontal kemik kırığı, açık redüksiyon ve internal tespit",surgical,
600890,Fronto-orbital ilerletme,surgical,
600900,Habitüel Temporomandibüler (TME) dislokasyonları için eminektomi,surgical,
600910,Kafatası kemiği ekstensif tümör ameliyatları,surgical,
600920,Kafatası kemiği basit tümöral kitleleri,surgical,
600930,"Kalvaryal şekillendirme, total",surgical,
600940,Kistik lenfanjiyom eksizyonu,surgical,
600950,Kondilektomi,surgical,
600960,"Kraniyal ansefalosel ameliyatları, diğer",surgical,
600970,"Kraniyoplasti ameliyatları, otojen greft ile",surgical,
600980,"Kraniyoplasti ameliyatları, yabancı cisim implantasyonu ameliyatları",surgical,
600990,"Kraniyosinostoz ameliyatları, tek veya çok sayıda sütür ile",surgical,
601000,Kraniyal kemik defektlerinin kosta grefti ile rekonstrüksiyonu,surgical,
601010,Kraniyal kemik defektlerinin plaklar ile rekonstrüksiyonu,surgical,
601020,Le Fort II osteotomisi ve/veya kemik grefti,surgical,
601030,Le Fort I osteotomisi ve/veya kemik grefti,surgical,
601040,Le Fort III osteotomisi ve/veya kemik grefti,surgical,
601050,"Maksilla veya mandibula kırığı, açık redüksiyon ve internal tespit",surgical,
601060,"Maksilla veya mandibula kırığı, intermaksiller tespit",surgical,
601070,"Maksillektomi, parsiyel",surgical,
601080,"Maksillektomi, total",surgical,
601090,"Mandibula veya maksilla rekonstrüksiyonu, kemik grefti ile",surgical,
601100,Mandibula veya maksilladaki kistik oluşumlara küretaj,surgical,
601110,Mandibula veya maksilladan ameloblastoma rezeksiyonu,surgical,
601120,Mandibula veya maksilladan küçük çaplı tümör rezeksizyonu,surgical,
601130,Mandibuladan tümör rezeksiyonu ve plak ile rekonstrüksiyon,surgical,
601140,Mandibuladan tümör rezeksiyonu ve vaskülarize kemik grefti ile onarım,surgical,
601141,Maksillomandibüler ilerletme cerrahisi,surgical,
601150,Mandibuladan tümör rezeksiyonu ve eş zamanlı kemik grefti ile onarım,surgical,
601160,"Mandibüler osteotomi, deformite onarımı için",surgical,
601170,"Mandibüler osteotomi, tümör rezeksiyonu için",surgical,
601180,"Nazo-ethmoid-orbital kırık, açık redüksiyon ve internal tespit",surgical,
601190,Orbital distopi düzeltilmesi,surgical,
601200,Orbital hipertelörizm düzeltilmesi,surgical,
601210,Sonradan kazanılmış oronazal fistüllerin kapatılması,surgical,
601220,Tiroglossal kist veya fistül eksizyonu,surgical,
601230,TME ankilozu için ‘gap’ artroplastisi,surgical,
601240,TME artroplasti,surgical,
601250,TME lüksasyonu kapalı redüksiyon,surgical,
601260,Vaskülarize kemik grefti ile mandibula rekonstrüksiyonu,surgical,
601270,"Zigoma kırığı, açık redüksiyon ve internal tespit",surgical,
601280,"Zigoma kırığı, kapalı redüksiyon",surgical,
601290,Açık rinoplasti ile total septal rekonstrüksiyon,surgical,
601300,"Alın flebi ile total burun kaybı onarımı, ikinci seans",surgical,
601310,"Burun eksternal cerrahi onarımı, greft ve /veya flep ile",surgical,
601320,Burun eksternal cerrahisi,surgical,
601330,Burun içi konka elektrokoterizasyonu,surgical,
601331,Radyofrekans/plazma uygulaması ile konka küçültülmesi,surgical,
601340,Burun kırıklarının kapalı redüksiyonu,surgical,
601350,Burun mukozası koterizasyonu,surgical,
601360,"Burun rekonstrüksiyonu, parsiyel",surgical,
601370,"Burun rekonstrüksiyonu, total",surgical,
601390,"Burun tamponu konması, arka",surgical,
601400,"Burun tamponu konması, ön",surgical,
601410,Burundan yabancı cisim çıkarılması,surgical,
601420,"Burundan yabancı cisim çıkarılması, cerrahi",surgical,
601430,"Kemik ve kıkırdak kaybı içeren ağır ""saddle nos"" deformitesi onarımı",surgical,
601440,"Koanal atrezi düzeltilmesi, tek taraf",surgical,
601450,Konka lateralizasyonu,surgical,
601460,"Konka submukozal rezeksiyonu, iki taraf",surgical,
601470,"Konka submukozal rezeksiyonu, tek taraf",surgical,
601480,Septal fraktür onarımı,surgical,
601490,"Nazal ensefalosel, kraniyotomi ile",surgical,
601500,Nazal fraktür onarımı,surgical,
601510,Nazal polipektomi,surgical,
601520,Nazal septal perforasyon onarımı,surgical,
601530,Nazal septal buton tatbiki,surgical,
601540,"Nazal valv cerrahisi, iki taraf",surgical,
601550,"Nazal valv cerrahisi, tek taraf",surgical,
601560,"Rinofima eksizyonu ve alın flebi, birinci seans",surgical,
601570,"Rinofima eksizyonu ve alın flebi, ikinci seans",surgical,
601580,Rinofima eksizyonu ve deri grefti,surgical,
601590,Rinofima eksizyonu ve ikincil iyileşmeye bırakılması,surgical,
601600,"Rinoplasti komplike olmayan, greft kullanılmaksızın",surgical,
601610,"Rinoplasti komplike, greft ile",surgical,
601620,Septoplasti,surgical,
601630,Septorinoplasti,surgical,
601640,"Şinesi, veb açılması",surgical,
601650,"Total burun kaybı rekonstrüksiyonunda alın flebi ve iskelet yapı oluşturulması, birinci seans",surgical,
601660,"Yalnızca kıkırdak kaybı içeren ""saddle nose"" deformitesi onarımı",surgical,
601670,Alar defektlerin rekonstrüksiyonu,surgical,
601680,"Aritenoidektomi, endolaringeal",surgical,
601685,Aritenoid addüksiyonu,surgical,
601690,"Boyun diseksiyonu, radikal veya fonksiyonel, tek taraf",surgical,
601700,Boyun eksplorasyonu,surgical,
601710,Brankial kleft kisti veya sinüsü eksizyonu,surgical,
601720,Damak fistülü onarımı,surgical,
601730,Eksternal karotid arter ligasyonu,surgical,
601740,Endolaringeal lazer cerrahisi,surgical,
601750,Endolaringeal mikrocerrahi ile larinks poliplerine girişim,surgical,
601760,Faringolarinjektomi,surgical,
601770,Faringolaringoözefajektomi,surgical,
601780,Hiyoid suspansiyonu,surgical,
601790,İntralaringeal enjeksiyonla mediyalizasyon,surgical,
601800,Kordektomi veya stripping,surgical,
601810,Kosta grefti alınması,surgical,
601820,Krikotiroidopeksi,surgical,
601830,"Laringeal fraktür tedavisi, kapalı",surgical,
601840,"Laringeal reinnervasyon, nöromusküler flep ile",surgical,
601850,Laringofissür,surgical,
601860,Laringoplasti (Fraktür için açık redüksiyon),surgical,
601870,"Laringoplasti (Medializasyon, tek taraf)",surgical,
601880,"Laringoplasti (Yanıklar, rekonstrüksiyon)",surgical,
601881,Laringeal stenoz cerrahisi,surgical,
601885,Laringeal web açılması,surgical,
601890,Laringosel çıkarılması,surgical,
601900,"Laringoskopi, direkt",surgical,
601901,Laringoskopi ve biyopsi,surgical,
601910,"Laringoskopi, fleksible fiberoptik",surgical,
601920,Laringostroboskopi,surgical,
601930,"Larinjektomi, parsiyel",surgical,
601940,"Larinjektomi, total",surgical,
