code,long_name_en,long_name_tr,long_name_tr_source,component,unit_default,scale_typ
100026-4,MET gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,MET geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,MET gene targeted mutation analysis,,Nom
100027-2,SMAD4 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,SMAD4 geni Mutasyon analizi:MevcKimlik:Zmlı:Kan/Dk:Snf:Molgen,composed,SMAD4 gene targeted mutation analysis,,Nom
100028-0,FBXW7 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,FBXW7 geni bulunan mutasyonlar [Tanımlayıcı] Kanda veya Dokuda Moleküler genetik yöntemi ile Nominal,llm,FBXW7 gene targeted mutation analysis,,Nom
100029-8,Cancer related multigene analysis in Plasma cell-free DNA by Molecular genetics method,Kanser ilişkili çoklu gen analizi Plazma hücresiz DNA'da Moleküler genetik yöntem ile,llm,Cancer related multigene analysis,,Doc
100030-6,Axis I: Temporal aspects score [Mainz Pain Staging System],,,Axis I: Temporal aspects score,{score},Qn
100031-4,Axis II: Spatial aspects score [Mainz Pain Staging System],,,Axis II: Spatial aspects score,{score},Qn
10003-2,R wave duration in lead III,,,R wave duration.lead III,s,Qn
100032-2,Axis III: Drug taking behavior score [Mainz Pain Staging System],,,Axis III: Drug taking behavior score,{score},Qn
100033-0,Axis IV: Utilization of the health care system score [Mainz Pain Staging System],,,Axis IV: Utilization of the health care system score,{score},Qn
100034-8,Provider of automated external defibrillator use,,,Provider of automated external defibrillator use,,Nom
100035-5,Exam finding location of Chest,,,Exam finding location,,Nom
100036-3,Exam finding location of Lung,,,Exam finding location,,Nom
100037-1,Patient contact disposition EMS unit,,,Patient contact disposition,,Nom
100038-9,Patient evaluation disposition EMS unit,,,Patient evaluation disposition,,Nom
100039-7,Crew disposition for patient care EMS unit,,,Crew disposition for patient care,,Nom
10004-0,R wave duration in lead V1,,,R wave duration.lead V1,s,Qn
100040-5,Patient transport disposition EMS unit,,,Patient transport disposition,,Nom
100041-3,Aminoglycoside [Susceptibility],Aminoglikozid [Duyarlılık],llm,Aminoglycoside,,OrdQn
100042-1,Atovaquone [Susceptibility],Atovakuon:Duyr:Zmlı:İzolat:SrlKant,composed,Atovaquone,,OrdQn
100043-9,Azithromycin+Ethambutol [Susceptibility],Azitromisin+Etambutol:Duyr:Zmlı:İzolat:SrlKant,composed,Azithromycin+Ethambutol,,OrdQn
100044-7,Cefcapene [Susceptibility],Sefkapen:Duyr:Zmlı:İzolat:SrlKant,composed,Cefcapene,,OrdQn
100045-4,Cefozopran [Susceptibility],Sefozopran:Duyr:Zmlı:İzolat:SrlKant,composed,Cefozopran,,OrdQn
100046-2,Cefquinome [Susceptibility],Sefkuinom:Duyr:Zmlı:İzolat:SrlKant,composed,Cefquinome,,OrdQn
100047-0,Cefteram [Susceptibility],Sefteram:Duyr:Zmlı:İzolat:SrlKant,composed,Cefteram,,OrdQn
100048-8,Clarithromycin+Ethambutol [Susceptibility],Klaritromisin+Etambutol:Duyr:Zmlı:İzolat:SrlKant,composed,Clarithromycin+Ethambutol,,OrdQn
100049-6,Eravacycline [Susceptibility],Eravasiklin [Duyarlılık],llm,Eravacycline,,OrdQn
100050-4,Erythromycin+Ethambutol [Susceptibility],Eritromisin+Etambutol:Duyr:Zmlı:İzolat:SrlKant,composed,Erythromycin+Ethambutol,,OrdQn
100051-2,Ethambutol+rifAMPin [Susceptibility],Etambutol+Rifampin:Duyr:Zmlı:İzolat:SrlKant,composed,Ethambutol+rifAMPin,,OrdQn
100052-0,Flomoxef [Susceptibility],Flomokzef:Duyr:Zmlı:İzolat:SrlKant,composed,Flomoxef,,OrdQn
100053-8,Fluoroquinolone [Susceptibility],Florokinolon [Duyarlılık],llm,Fluoroquinolone,,OrdQn
100054-6,Gamithromycin [Susceptibility],Gamitromisin [Duyarlılık],llm,Gamithromycin,,OrdQn
100055-3,Optochin [Susceptibility],Optochin:Duyr:Zmlı:İzolat:SrlKant,composed,Optochin,,OrdQn
100056-1,Panipenem [Susceptibility],Panipenem:Duyr:Zmlı:İzolat:SrlKant,composed,Panipenem,,OrdQn
10005-7,R wave duration in lead V2,,,R wave duration.lead V2,s,Qn
100057-9,Prothionamide [Susceptibility],Prothionamid:Duyr:Zmlı:İzolat:SrlKant,composed,Prothionamide,,OrdQn
100058-7,Prulifloxacin [Susceptibility],Prulifloksasin:Duyr:Zmlı:İzolat:SrlKant,composed,Prulifloxacin,,OrdQn
100059-5,Rifapentine [Susceptibility],Rifapentin:Duyr:Zmlı:İzolat:SrlKant,composed,Rifapentine,,OrdQn
100060-3,Tildipirosin [Susceptibility],Tildipirosin [Duyarlılık],llm,Tildipirosin,,OrdQn
100061-1,Tosufloxacin [Susceptibility],Tosufloksasin:Duyr:Zmlı:İzolat:SrlKant,composed,Tosufloxacin,,OrdQn
100062-9,Standard Dermatology Outcome Measures panel,,,Standard Dermatology Outcome Measures panel,,-
100063-7,Primary skin concern,,,Primary skin concern,,Nom
100064-5,Itch severity Reporting Period - Reported,,,Itch severity,,Ord
10006-5,R wave duration in lead V3,,,R wave duration.lead V3,s,Qn
100065-2,Satisfied with treatment,,,Satisfied with treatment,,Ord
100066-0,Specular microscopy panel,,,Specular microscopy panel,,-
100067-8,Eye Image magnification,,,Image magnification,mm,Qn
100068-6,Right eye Fixation point [Angle],,,Fixation point,,Nom
100069-4,Left eye Fixation point [Angle],,,Fixation point,,Nom
100070-2,Right cornea Cell density,,,Cell density,/{area},Qn
100071-0,Left cornea Cell density,,,Cell density,/{area},Qn
100072-8,Right cornea Coefficient of variation,,,Coefficient of variation,mm2,Qn
10007-3,R wave duration in lead V4,,,R wave duration.lead V4,s,Qn
100073-6,Left cornea Coefficient of variation,,,Coefficient of variation,mm2,Qn
100074-4,Right cornea Hexagonality,,,Hexagonality,%,Qn
100075-1,Left cornea Hexagonality,,,Hexagonality,%,Qn
100076-9,Right cornea Endothelial cells counted,,,Endothelial cells counted,{#},Qn
100077-7,Left cornea Endothelial cells counted,,,Endothelial cells counted,{#},Qn
100078-5,Right cornea Endothelial cell area.min,,,Endothelial cell area.min,mm2,Qn
100079-3,Left cornea Endothelial cell area.min,,,Endothelial cell area.min,mm2,Qn
100080-1,Right cornea Endothelial cell area.max,,,Endothelial cell area.max,mm2,Qn
10008-1,R wave duration in lead V5,,,R wave duration.lead V5,s,Qn
100081-9,Left cornea Endothelial cell area.max,,,Endothelial cell area.max,mm2,Qn
100082-7,Right cornea Endothelial cell area.mean,,,Endothelial cell area.mean,mm2,Qn
100083-5,Left cornea Endothelial cell area.mean,,,Endothelial cell area.mean,mm2,Qn
100084-3,Right cornea Cell area.standard deviation,,,Cell area.standard deviation,mm2,Qn
100085-0,Left cornea Cell area.standard deviation,,,Cell area.standard deviation,mm2,Qn
100086-8,Right cornea Type of Analysis method by Specular microscopy,,,Analysis method,,Nom
100087-6,Toxocara canis 24-35kD IgG Ab [Presence] in Serum by Immunoblot,Toxocara canis 24-35kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Toxocara canis 24-35kD Ab.IgG,,Ord
100088-4,Taenia solium larva Ab bands panel - Serum by Immunoblot,Taenia solium larva antikoru bantları paneli - Serum immünoblot ile,llm,Taenia solium larva Ab bands panel,,-
100089-2,Taenia solium larva 6-8kD Ab [Presence] in Serum by Immunoblot,Taenia solium larva 6-8kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Taenia solium larva 6-8kD Ab,,Ord
1000-9,DBG Ab [Presence] in Serum or Plasma from Blood product unit,DBG Ab:MevcEşik:Zmlı:Ser/Plaz^KanÜrÜ:Srl,composed,DBG Ab,,Ord
100090-0,Taenia solium larva 45kD Ab [Presence] in Serum by Immunoblot,Taenia solium larva 45kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Taenia solium larva 45kD Ab,,Ord
100091-8,Trypanosoma cruzi Ab [Units/volume] in Serum by Immunoassay,Trypanosoma cruzi Ab:SçKons:Zmlı:Ser:Kant:İA,composed,Trypanosoma cruzi Ab,[arb'U]/mL,Qn
100092-6,Trypanosoma cruzi Ab bands panel - Serum by Immunoblot,Trypanosoma cruzi antikoru bantları paneli - Serum immünoblot ile,llm,Trypanosoma cruzi Ab bands panel,,-
100093-4,Trypanosoma cruzi 15-16kD IgG Ab [Presence] in Serum by Immunoblot,Trypanosoma cruzi 15-16kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Trypanosoma cruzi 15-16kD Ab.IgG,,Ord
100094-2,Trypanosoma cruzi 21-22kD IgG Ab [Presence] in Serum by Immunoblot,Trypanosoma cruzi 21-22kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Trypanosoma cruzi 21-22kD Ab.IgG,,Ord
100095-9,Trypanosoma cruzi 27-28kD IgG Ab [Presence] in Serum by Immunoblot,Trypanosoma cruzi 27-28kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Trypanosoma cruzi 27-28kD Ab.IgG,,Ord
100096-7,Trypanosoma cruzi 42kD IgG Ab [Presence] in Serum by Immunoblot,Trypanosoma cruzi 42kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Trypanosoma cruzi 42kD Ab.IgG,,Ord
100097-5,Trypanosoma cruzi 45-47kD IgG Ab [Presence] in Serum by Immunoblot,Trypanosoma cruzi 45-47kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Trypanosoma cruzi 45-47kD Ab.IgG,,Ord
100098-3,Trypanosoma cruzi 120-200kD IgG Ab [Presence] in Serum by Immunoblot,Trypanosoma cruzi 120-200kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Trypanosoma cruzi 120-200kD Ab.IgG,,Ord
10009-9,R wave duration in lead V6,,,R wave duration.lead V6,s,Qn
100099-1,Trypanosoma cruzi 160kD IgG Ab [Presence] in Serum by Immunoblot,Trypanosoma cruzi 160kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Trypanosoma cruzi 160kD Ab.IgG,,Ord
100100-7,Fasciola sp IgG Ab [Presence] in Serum by Immunoassay,Fasciola sp Ab.IgG:MevcEşik:Zmlı:Ser:Srl:İA,composed,Fasciola sp Ab.IgG,,Ord
100101-5,Fasciola sp 8-9kD IgG Ab [Presence] in Serum by Immunoblot,Fasciola sp 8-9kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Fasciola sp 8-9kD Ab.IgG,,Ord
100102-3,Fasciola sp 27-28kD IgG Ab [Presence] in Serum by Immunoblot,Fasciola sp 27-28kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Fasciola sp 27-28kD Ab.IgG,,Ord
100103-1,Fasciola sp 60kD IgG Ab [Presence] in Serum by Immunoblot,Fasciola sp 60kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Fasciola sp 60kD Ab.IgG,,Ord
100104-9,Fasciola sp 42kD IgG Ab [Presence] in Serum by Immunoblot,Fasciola sp 42kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Fasciola sp 42kD Ab.IgG,,Ord
100105-6,Filaria IgG and IgM panel - Serum,Filaria IgG ve IgM paneli - Serum,llm,Filaria Ab.IgG & IgM panel,,-
100106-4,Filaria IgG Ab [Presence] in Serum by Immunoassay,Filaria Ab.IgG:MevcEşik:Zmlı:Ser:Srl:İA,composed,Filaria Ab.IgG,,Ord
10010-7,R' wave amplitude in lead AVF,,,R' wave amplitude.lead AVF,mV,Qn
100107-2,Leishmania sp IgG Ab [Presence] in Serum by Immunoassay,Leishmania sp Ab.IgG:MevcEşik:Zmlı:Ser:Srl:İA,composed,Leishmania sp Ab.IgG,,Ord
100108-0,Leishmania sp IgG Ab [Units/volume] in Serum by Immunoassay,Leishmania sp Ab.IgG:SçKons:Zmlı:Ser:Kant:İA,composed,Leishmania sp Ab.IgG,[arb'U]/mL,Qn
100109-8,Leishmania sp Ab bands panel - Serum by Immunoblot,Leishmania sp antikoru bantları paneli - Serum immünoblot ile,llm,Leishmania sp Ab bands panel,,-
100110-6,Leishmania sp 14kD IgG Ab [Presence] in Serum by Immunoblot,Leishmania sp 14kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Leishmania sp 14kD Ab.IgG,,Ord
100111-4,Leishmania sp 16kD IgG Ab [Presence] in Serum by Immunoblot,Leishmania sp 16kD IgG Antikor [Varlığı] Serumda İmmünoblot ile,llm,Leishmania sp 16kD Ab.IgG,,Ord
100112-2,Fasciola sp Ab bands panel - Serum by Immunoblot,Fasciola sp antikoru bantları paneli - Serum immünoblot ile,llm,Fasciola sp Ab bands panel,,-
100113-0,Helicobacter pylori Ab panel - Serum,Helicobacter pylori antikoru paneli - Serum,llm,Helicobacter pylori Ab panel,,-
100114-8,Toxoplasma gondii 30kD Ab [Presence] in Serum by Immunoblot,Toxoplasma gondii 30kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Toxoplasma gondii 30kD Ab,,Ord
10011-5,R' wave amplitude in lead AVL,,,R' wave amplitude.lead AVL,mV,Qn
100115-5,Toxoplasma gondii 31kD Ab [Presence] in Serum by Immunoblot,Toxoplasma gondii 31kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Toxoplasma gondii 31kD Ab,,Ord
100116-3,Toxoplasma gondii 33kD Ab [Presence] in Serum by Immunoblot,Toxoplasma gondii 33kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Toxoplasma gondii 33kD Ab,,Ord
100117-1,Toxoplasma gondii 40kD Ab [Presence] in Serum by Immunoblot,Toxoplasma gondii 40kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Toxoplasma gondii 40kD Ab,,Ord
100118-9,Toxoplasma gondii 41kD Ab [Presence] in Serum by Immunoblot,Toxoplasma gondii 41kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Toxoplasma gondii 41kD Ab,,Ord
100119-7,Toxoplasma gondii 45kD Ab [Presence] in Serum by Immunoblot,Toxoplasma gondii 45kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Toxoplasma gondii 45kD Ab,,Ord
100120-5,Chlamydia trachomatis Ab panel - Serum,Chlamydia trachomatis antikoru paneli - Serum,llm,Chlamydia trachomatis Ab panel,,-
100121-3,Chlamydia trachomatis IgA Ab [Presence] in Serum by Immunoassay,Chlamydia trachomatis IgA:MevcEşik:Zmlı:Ser:Srl:İA,composed,Chlamydia trachomatis Ab.IgA,,Ord
100122-1,Chlamydophila pneumoniae Ab panel - Serum,Chlamydophila pneumoniae antikoru paneli - Serum,llm,Chlamydophila pneumoniae Ab panel,,-
10012-3,R' wave amplitude in lead AVR,,,R' wave amplitude.lead AVR,mV,Qn
100123-9,Chlamydophila pneumoniae IgA Ab [Presence] in Serum by Immunoassay,Chlamydophila pneumoniae IgA:MevcEşik:Zmlı:Ser:Srl:İA,composed,Chlamydophila pneumoniae Ab.IgA,,Ord
100124-7,Chlamydophila pneumoniae IgA Ab [Units/volume] in Serum by Immunoassay,Chlamydophila pneumoniae IgA:SçKons:Zmlı:Ser:Kant:İA,composed,Chlamydophila pneumoniae Ab.IgA,[arb'U]/mL,Qn
100125-4,Chlamydophila psittaci Ab panel - Serum,Chlamydophila psittaci antikoru paneli - Serum,llm,Chlamydophila psittaci Ab panel,,-
100126-2,Bordetella pertussis Ab.IgG panel - Serum,Bordetella pertussis antikoru.IgG paneli - Serum,llm,Bordetella pertussis Ab.IgG panel,,-
100127-0,Campylobacter sp Ab panel - Serum,Campylobacter sp antikoru paneli - Serum,llm,Campylobacter sp Ab panel,,-
100128-8,Cryptococcus sp Ag panel - Serum,Cryptococcus sp antijeni paneli - Serum,llm,Cryptococcus sp Ag panel,,-
100129-6,Schistosoma sp Ab [Titer] in Serum by Hemagglutination,Schistosoma sp Antikor [Titre] Serumda Hemaglütinasyon ile,llm,Schistosoma sp Ab,{titer},SemiQn
100130-4,Schistosoma mansoni Ab [Presence] in Serum by Immunoblot,Schistosoma mansoni Ab:MevcEşik:Zmlı:Ser:Srl:IB,composed,Schistosoma mansoni Ab,,Ord
10013-1,R' wave amplitude in lead I,,,R' wave amplitude.lead I,mV,Qn
100131-2,Schistosoma sp 8kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 8kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 8kD Ab,,Ord
100132-0,Schistosoma sp 9kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 9kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 9kD Ab,,Ord
100133-8,Schistosoma sp 10kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 10kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 10kD Ab,,Ord
100134-6,Schistosoma sp 11kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 11kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 11kD Ab,,Ord
100135-3,Schistosoma sp 12-13kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 12-13kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 12-13kD Ab,,Ord
100136-1,Schistosoma sp 14-15kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 14-15kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 14-15kD Ab,,Ord
100137-9,Schistosoma sp 15-16kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 15-16kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 15-16kD Ab,,Ord
100138-7,Schistosoma sp 18-19kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 18-19kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 18-19kD Ab,,Ord
100139-5,Schistosoma sp 22-24kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 22-24kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 22-24kD Ab,,Ord
100140-3,Schistosoma sp 30-34kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 30-34kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 30-34kD Ab,,Ord
100141-1,Schistosoma sp 65kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 65kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 65kD Ab,,Ord
100142-9,Schistosoma sp 70kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 70kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 70kD Ab,,Ord
100143-7,Schistosoma sp 80kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 80kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 80kD Ab,,Ord
100144-5,Schistosoma sp 95kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 95kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 95kD Ab,,Ord
100145-2,Schistosoma sp 110kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 110kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 110kD Ab,,Ord
100146-0,Schistosoma sp 120kD Ab [Presence] in Serum by Immunoblot,Schistosoma sp 120kD Antikor [Varlığı] Serumda İmmünoblot ile,llm,Schistosoma sp 120kD Ab,,Ord
100147-8,Toxoplasma gondii Ab bands panel - Serum by Immunoblot,Toxoplasma gondii antikoru bantları paneli - Serum immünoblot ile,llm,Toxoplasma gondii Ab bands panel,,-
100148-6,Schistosoma sp Ab bands panel - Serum by Immunoblot,Schistosoma sp antikoru bantları paneli - Serum immünoblot ile,llm,Schistosoma sp Ab bands panel,,-
10014-9,R' wave amplitude in lead II,,,R' wave amplitude.lead II,mV,Qn
100149-4,6-oxo-piperidine-2-carboxylate and 6(R+S)-oxo-propylpiperidine-2-carboxylate panel - Urine and Serum or Plasma,6-okso-piperidin-2-karboksilat ve 6(R+S)-okso-propilpiperidin-2-karboksilat paneli - İdrar ve Serum veya Plazma,llm,6-oxo-piperidine-2-carboxylate & 6(R+S)-oxo-propylpiperidine-2-carboxylate panel,,-
100150-2,6(R+S)-oxo-propylpiperidine-2-carboxylate [Moles/volume] in Plasma,6(R+S)-okso-propilpiperidin-2-karboksilat [Mol/hacim] Plazmada,llm,6(R+S)-oxo-propylpiperidine-2-carboxylate,umol/L,Qn
100151-0,6-oxo-piperidine-2-carboxylate [Moles/volume] in Plasma,6-okso-piperidin-2-karboksilat [Mol/hacim] Plazmada,llm,6-oxo-piperidine-2-carboxylate,umol/L,Qn
100152-8,6-oxo-piperidine-2-carboxylate/Creatinine [Molar ratio] in Urine,6-okso-piperidin-2-karboksilat/Kreatinin [Molar oran] İdrarda,llm,6-oxo-piperidine-2-carboxylate/Creatinine,umol/mmol{creat},Qn
100153-6,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine [Molar ratio] in Urine,6(R+S)-okso-propilpiperidin-2-karboksilat/Kreatinin [Molar oran] İdrarda,llm,6(R+S)-oxo-propylpiperidine-2-carboxylate/Creatinine,umol/mmol{creat},Qn
100154-4,Specimen collection supervision level,Örnek toplama denetim düzeyi,llm,Collection supervision level,,Nom
100155-1,Left cornea Type of Analysis method by Specular microscopy,,,Analysis method,,Nom
10015-6,R' wave amplitude in lead III,,,R' wave amplitude.lead III,mV,Qn
100156-9,SARS-CoV-2 (COVID-19) variant [Type] in Specimen by NAA with probe detection,SARS-CoV-2 (COVID-19) varyant [Tip] Örnekte NAA prob saptama ile,llm,SARS coronavirus 2 variant,,Nom
100157-7,SARS-CoV-2 (COVID-19) lineage [Type] in Specimen by Sequencing,SARS-CoV-2 (COVID-19) soy [Tip] Örnekte Sekanslama ile,llm,SARS coronavirus 2 lineage,,Nom
100158-5,Microalbumin [Mass/volume] in Urine collected for unspecified duration,Albumin:KütlKons:XXX:İdrar:Kant:Saptama sınırı <= 20 mg/L,composed,Albumin,mg/L,Qn
100159-3,Knee Society Score pre-op panel [Knee Society Score],,,Knee Society Score pre-op panel,,-
100160-1,Knee replacement,,,Knee replacement,,Ord
100161-9,Charnley Functional Classification,,,Charnley Functional Classification,,Ord
100162-7,Knee alignment W standing X-ray measured,,,Alignment^W standing,,Ord
100163-5,Knee medial AndOr lateral instability W full extension,,,Medial &or lateral instability^W full extension,,Ord
10016-4,R' wave amplitude in lead V1,,,R' wave amplitude.lead V1,mV,Qn
100164-3,Knee AP instability W 90 degree flexion,,,Anterior-posterior instability^W 90 degree flexion,,Ord
100165-0,Knee range of motion,,,Range of motion,deg,Qn
100166-8,Flexion contracture range of Knee,,,Flexion contracture range,,Ord
100167-6,Extensor lag range of Knee,,,Extensor lag range,,Ord
100168-4,Knee pain severity with level walking,,,Knee pain severity with level walking,,Ord
100169-2,Knee pain severity with stairs or inclines,,,Knee pain severity with stairs or inclines,,Ord
1001-7,DBG Ab [Presence] in Serum or Plasma from Donor,DBG Ab:MevcEşik:Zmlı:Ser/Plaz^verici:Srl,composed,DBG Ab,,Ord
100170-0,Knee feels normal,,,Knee feels normal,,Ord
100171-8,Satisfaction with level of knee pain while sitting,,,Satisfaction with level of knee pain while sitting,,Ord
10017-2,R' wave amplitude in lead V2,,,R' wave amplitude.lead V2,mV,Qn
100172-6,Satisfaction with level of knee pain while lying in bed,,,Satisfaction with level of knee pain while lying in bed,,Ord
100173-4,Satisfaction with knee function while getting out of bed,,,Satisfaction with knee function while getting out of bed,,Ord
100174-2,Satisfaction with knee function while performing light household duties,,,Satisfaction with knee function while performing light household duties,,Ord
100175-9,Satisfaction with knee function while performing recreational activities,,,Satisfaction with knee function while performing recreational activities,,Ord
100176-7,Expect surgery to relieve pain,,,Expect surgery to relieve pain,,Ord
100177-5,Expect surgery will improve ability to perform activities of daily living,,,Expect surgery will improve ability to perform activities of daily living,,Ord
100178-3,"Expect surgery will improve ability to perform leisure, recreational, or sports activities",,,"Expect surgery will improve ability to perform leisure, recreational, or sports activities",,Ord
