code,description_tr,description_en,parent_code,is_billable
A04.3,Enterohemorajik [kanamalı] Escherichia coli enfeksiyonu,Enterohaemorrhagic Escherichia coli infection,A04,true
A04.4,Escherichia coli'ye bağlı diğer bağırsak enfeksiyonları,Other intestinal Escherichia coli infections,A04,true
A04.5,Campylobacter enteriti,Campylobacter enteritis,A04,true
A04.6,Yersinia enterocolitica’ya bağlı enterit,Enteritis due to Yersinia enterocolitica,A04,true
A04.7,Clostridium difficile’ye bağlı enterokolit,Enterocolitis due to Clostridium difficile,A04,true
A04.8,Diğer tanımlanmış bakteriyel intestinal enfeksiyonlar,Other specified bacterial intestinal infections,A04,true
A04.9,Tanımlanmamış bakteriyel intestinal enfeksiyon,"Bacterial intestinal infection, unspecified",A04,true
A05,Diğer bakteriyel gıda zehirlenmeleri,,A00-A09,false
A05.0,Gıda kaynaklı stafilokok zehirlenmesi,Foodborne staphylococcal intoxication,A05,true
A05.1,Botulizm,Botulism,A05,true
A05.2,Gıda kaynaklı Clostridium perfringens [Clostridium welchii] zehirlenmesi,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05,true
A05.3,Gıda kaynaklı Vibrio parahaemolyticus zehirlenmesi,Foodborne Vibrio parahaemolyticus intoxication,A05,true
A05.4,Gıda kaynaklı Bacillus cereus zehirlenmesi,Foodborne Bacillus cereus intoxication,A05,true
A05.8,Diğer tanımlanmış bakteriyel gıda kaynaklı zehirlenmeler,Other specified bacterial foodborne intoxications,A05,true
A05.9,"Bakteriyel gıda zehirlenmesi, tanımlanmamış","Bacterial foodborne intoxication, unspecified",A05,true
A06,Amebiyazis,,A00-A09,false
A06.0,Akut amipli dizanteri,Acute amoebic dysentery,A06,true
A06.1,Kronik intestinal amebiyaz,Chronic intestinal amoebiasis,A06,true
A06.2,Amipli nondizanterik kolit,Amoebic nondysenteric colitis,A06,true
A06.3,Bağırsak ameboması,Amoeboma of intestine,A06,true
A06.4,Amipli karaciğer apsesi,Amoebic liver abscess,A06,true
A06.5,Amipli akciğer apsesi,Amoebic lung abscess,A06,true
A06.6,Amipli beyin apsesi,Amoebic brain abscess,A06,true
A06.7,Kutanöz amebiyazis,Cutaneous amoebiasis,A06,true
A06.8,Diğer bölgelerin amipli enfeksiyonu,Amoebic infection of other sites,A06,true
A06.9,"Amebiyaz, tanımlanmamış","Amoebiasis, unspecified",A06,true
A07,Diğer protozoal bağırsak hastalıklar,,A00-A09,false
A07.0,Balantidiyazis,Balantidiasis,A07,true
A07.1,Giardiyazis [lambliazis],Giardiasis [lambliasis],A07,true
A07.2,Kriptosporidiyozis,Cryptosporidiosis,A07,true
A07.3,İzosporiyazis,Isosporiasis,A07,true
A07.8,Diğer tanımlanmış protozoal bağırsak hastalıkları,Other specified protozoal intestinal diseases,A07,true
A07.9,"Protozoal bağırsak hastalığı, tanımlanmamış","Protozoal intestinal disease, unspecified",A07,true
A08,Viral ve diğer tanımlanmış bağırsak enfeksiyonları,,A00-A09,false
A08.0,Rotavirüs enteriti,Rotaviral enteritis,A08,true
A08.1,Norwalk ajanına bağlı akut gastroenteropati,Acute gastroenteropathy due to Norwalk agent,A08,true
A08.2,Adenovirüs enteriti,Adenoviral enteritis,A08,true
A08.3,Diğer viral enterit,Other viral enteritis,A08,true
A08.4,"Viral bağırsak enfeksiyonu, tanımlanmamış","Viral intestinal infection, unspecified",A08,true
A08.5,Diğer tanımlanmış bağırsak enfeksiyonları,Other specified intestinal infections,A08,true
A09,Enfeksiyöz kaynaklı olduğu kabul edilen diyare ve gastroenterit,Diarrhoea and gastroenteritis of presumed infectious origin,A00-A09,true
A15-A19,Tüberküloz,,A00-B99,false
A15,"Solunum yolları tüberkülozu, bakteriyolojik ve histolojik olarak doğrulanmış",,A15-A19,false
A15.0,"Akciğer tüberkülozu, kültür ile veya kültür olmadan balgam mikroskopisi ile doğrulanmış","Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15,true
A15.1,"Akciğer tüberkülozu, sadece kültürle doğrulanmış","Tuberculosis of lung, confirmed by culture only",A15,true
A15.2,"Akciğer tüberkülozu, histolojik olarak doğrulanmış","Tuberculosis of lung, confirmed histologically",A15,true
A15.3,"Akciğer tüberkülozu, tanımlanmamış yollarla doğrulanmış","Tuberculosis of lung, confirmed by unspecified means",A15,true
A15.4,"İntratorasik lenf nodlarının tüberkülozu, bakteriyolojik ve histolojik olarak doğrulanmış","Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15,true
A15.5,"Larenks, trakea ve bronş tüberkülozu, bakteriyolojik ve histolojik olarak doğrulanmış","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15,true
A15.6,"Tüberküloz plörezi, bakteriyolojik ve histolojik olarak doğrulanmış","Tuberculous pleurisy, confirmed bacteriologically and histologically",A15,true
A15.7,"Primer solunum yolu tüberkülozu, bakteriyolojik ve histolojik olarak doğrulanmış","Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15,true
A15.8,"Diğer solunum yolu tüberkülozu, bakteriyolojik ve histolojik olarak doğrulanmış","Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15,true
A15.9,"Tanımlanmamış solunum yolu tüberkülozu, bakteriyolojik ve histolojik olarak doğrulanmış","Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15,true
A16,"Solunum yolu tüberkülozu, bakteriyolojik ve histolojik olarak doğrulanmamış",,A15-A19,false
A16.0,"Akciğer tüberkülozu, bakteriyolojik ve histolojik olarak negatif","Tuberculosis of lung, bacteriologically and histologically negative",A16,true
A16.1,"Akciğer tüberkülozu, bakteriyolojik ve histolojik inceleme yapılmamış","Tuberculosis of lung, bacteriological and histological examination not done",A16,true
A16.2,"Akciğer tüberkülozu, bakteriyolojik veya histolojik doğrulamadan bahsedilmeden","Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16,true
A16.3,"İntratorasik lenf nodlarının tüberkülozu, bakteriyolojik veya histolojik doğrulamadan bahsedilmeden","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16,true
A16.4,"Larenks, trakea ve bronş tüberkülozu, bakteriyolojik veya histolojik doğrulamadan bahsedilmeden","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16,true
A16.5,"Tüberküloz plörezi, bakteriyolojik veya histolojik doğrulamadan bahsedilmeden","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16,true
A16.7,Bakteriyolojik veya histolojik doğrulamadan bahsedilmeden primer solunum yolu tüberkülozu,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A16,true
A16.8,"Diğer solunum yolu tüberkülozu, bakteriyolojik veya histolojik doğrulamadan bahsedilmeden","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16,true
A16.9,"Tanımlanmamış solunum yolu tüberkülozu, bakteriyolojik veya histolojik doğrulamadan bahsedilmeden","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16,true
A17,Sinir sistemi tüberkülozu,,A15-A19,false
A17.0,Tüberküloz menenjit,Tuberculous meningitis,A17,true
A17.1,Menenjiyal tüberkülom,Meningeal tuberculoma,A17,true
A17.8,Sinir sisteminin diğer tüberkülozu,Other tuberculosis of nervous system,A17,true
A17.9,"Sinir sistemi tüberkülozu, tanımlanmamış","Tuberculosis of nervous system, unspecified",A17,true
A18,Diğer organların tüberkülozu,,A15-A19,false
A18.0,Kemiklerin ve eklemlerin tüberkülozu,Tuberculosis of bones and joints,A18,true
A18.1,Genitoüriner sistem tüberkülozu,Tuberculosis of genitourinary system,A18,true
A18.2,Tüberküloza bağlı periferik lenfadenopati,Tuberculous peripheral lymphadenopathy,A18,true
A18.3,"Bağırsakların, periton ve mezenterik bezlerin tüberkülozu","Tuberculosis of intestines, peritoneum and mesenteric glands",A18,true
A18.4,Derinin ve derialtı dokusunun tüberkülozu,Tuberculosis of skin and subcutaneous tissue,A18,true
A18.5,Gözün tüberkülozu,Tuberculosis of eye,A18,true
A18.6,Kulak tüberkülozu,Tuberculosis of ear,A18,true
A18.7,Adrenal bezlerin tüberkülozu,Tuberculosis of adrenal glands,A18,true
A18.8,Diğer tanımlanmış organların tüberkülozu,Tuberculosis of other specified organs,A18,true
A19,Miliyer tüberküloz,,A15-A19,false
A19.0,Tanımlanmış tek bir bölgenin akut miliyer tüberkülozu,Acute miliary tuberculosis of a single specified site,A19,true
A19.1,Çoğul bölgelerin akut miliyer tüberkülozu,Acute miliary tuberculosis of multiple sites,A19,true
A19.2,"Akut miliyer tüberküloz, tanımlanmamış","Acute miliary tuberculosis, unspecified",A19,true
A19.8,Diğer miliyer tüberküloz,Other miliary tuberculosis,A19,true
A19.9,"Miliyer tüberküloz, tanımlanmamış","Miliary tuberculosis, unspecified",A19,true
A20-A28,Belirli zoonotik bakteriyel hastalıklar,,A00-B99,false
A20,Veba,,A20-A28,false
A20.0,Bubonik veba,Bubonic plague,A20,true
A20.1,Selülokutanöz veba,Cellulocutaneous plague,A20,true
A20.2,Pnömonik veba,Pneumonic plague,A20,true
A20.3,Veba menenjiti,Plague meningitis,A20,true
A20.7,Septisemik veba,Septicaemic plague,A20,true
A20.8,Vebanın diğer formları,Other forms of plague,A20,true
A20.9,"Veba, tanımlanmamış","Plague, unspecified",A20,true
A21,Tularemi,,A20-A28,false
A21.0,Ülseroglandüler tularemi,Ulceroglandular tularaemia,A21,true
A21.1,Oküloglandüler tularemi,Oculoglandular tularaemia,A21,true
A21.2,Pulmoner tularemi,Pulmonary tularaemia,A21,true
A21.3,Gastrointestinal tularemi,Gastrointestinal tularaemia,A21,true
A21.7,Jeneralize tularemi,Generalized tularaemia,A21,true
A21.8,Tulareminin diğer formları,Other forms of tularaemia,A21,true
A21.9,"Tularemi, tanımlanmamış","Tularaemia, unspecified",A21,true
A22,Şarbon,,A20-A28,false
A22.0,Deri şarbonu,Cutaneous anthrax,A22,true
A22.1,Pulmoner şarbon,Pulmonary anthrax,A22,true
A22.2,Gastrointestinal şarbon,Gastrointestinal anthrax,A22,true
A22.7,Şarbon sepsisi,Anthrax septicaemia,A22,true
A22.8,Diğer şarbon türleri,Other forms of anthrax,A22,true
A22.9,"Şarbon, tanımlanmamış","Anthrax, unspecified",A22,true
A23,Bruselloz,,A20-A28,false
A23.0,Brucella melitensis’e bağlı bruselloz,Brucellosis due to Brucella melitensis,A23,true
A23.1,Brucella abortus’a bağlı bruselloz,Brucellosis due to Brucella abortus,A23,true
A23.2,Brucella suis’e bağlı bruselloz,Brucellosis due to Brucella suis,A23,true
A23.3,Brucella canis’e bağlı bruselloz,Brucellosis due to Brucella canis,A23,true
A23.8,Diğer bruselloz,Other brucellosis,A23,true
A23.9,"Bruselloz, tanımlanmamış","Brucellosis, unspecified",A23,true
A24,Ruam ve melioidoz,,A20-A28,false
A24.0,Ruam,Glanders,A24,true
A24.1,Akut ve fulminan melioidoz,Acute and fulminating melioidosis,A24,true
A24.2,Subakut ve kronik melioidoz,Subacute and chronic melioidosis,A24,true
A24.3,Diğer melioidoz,Other melioidosis,A24,true
A24.4,"Melioidoz, tanımlanmamış","Melioidosis, unspecified",A24,true
A25,Sıçan ısırığı ateşi,,A20-A28,false
A25.0,Spirillozis,Spirillosis,A25,true
A25.1,Streptobasillozis,Streptobacillosis,A25,true
A25.9,"Sıçan ısırığı ateşi, tanımlanmamış","Rat-bite fever, unspecified",A25,true
A26,Erizipeloid,,A20-A28,false
A26.0,Kutanöz erizipeloid,Cutaneous erysipeloid,A26,true
A26.7,Erysipelothrix sepsisi,Erysipelothrix septicaemia,A26,true
A26.8,Diğer erizipeloid formları,Other forms of erysipeloid,A26,true
A26.9,"Erizipeloid, tanımlanmamış","Erysipeloid, unspecified",A26,true
A27,Leptospirozis,,A20-A28,false
A27.0,Leptospirozis ikterohemorajik [kanamalı]a,Leptospirosis icterohaemorrhagica,A27,true
A27.8,Diğer leptospirozis formları,Other forms of leptospirosis,A27,true
A27.9,"Leptospirozis, tanımlanmamış","Leptospirosis, unspecified",A27,true
A28,"Diğer zoonotik bakteriyel hastalıklar, başka yerde sınıflandırılmamış",,A20-A28,false
A28.0,Pastörellozis,Pasteurellosis,A28,true
A28.1,Kedi tırmığı hastalığı,Cat-scratch disease,A28,true
A28.2,Ekstraintestinal yersiniyoz,Extraintestinal yersiniosis,A28,true
A28.8,"Diğer tanımlanmış zoonotik bakteriyel hastalıklar, başka yerde sınıflandırılmamış","Other specified zoonotic bacterial diseases, not elsewhere classified",A28,true
A28.9,"Zoonotik bakteriyel hastalık, tanımlanmamış","Zoonotic bacterial disease, unspecified",A28,true
A30-A49,Diğer bakteriyel hastalıklar,,A00-B99,false
A30,Lepra [Hansen hastalığı],,A30-A49,false
A30.0,Belirsiz lepra,Indeterminate leprosy,A30,true
A30.1,Tüberküloid lepra,Tuberculoid leprosy,A30,true
A30.2,Sınırda tüberküloid lepra,Borderline tuberculoid leprosy,A30,true
A30.3,Sınırda lepra,Borderline leprosy,A30,true
A30.4,Sınırda lepromatöz lepra,Borderline lepromatous leprosy,A30,true
A30.5,Lepromatöz lepra,Lepromatous leprosy,A30,true
A30.8,Diğer lepra formları,Other forms of leprosy,A30,true
A30.9,"Lepra, tanımlanmamış","Leprosy, unspecified",A30,true
A31,Diğer mikobakterilere bağlı enfeksiyon,,A30-A49,false
A31.0,Pulmoner mikobakteriyel enfeksiyon,Pulmonary mycobacterial infection,A31,true
A31.1,Kutanöz mikobakteriyel enfeksiyon,Cutaneous mycobacterial infection,A31,true
A31.8,Diğer mikobakteriyel enfeksiyonlar,Other mycobacterial infections,A31,true
A31.9,"Mikobakteriyel enfeksiyon, tanımlanmamış","Mycobacterial infection, unspecified",A31,true
A32,Listeriyozis,,A30-A49,false
A32.0,Kutanöz listeriyozis,Cutaneous listeriosis,A32,true
A32.1,Listeria'ya bağlı menenjit ve meningoensefalit,Listerial meningitis and meningoencephalitis,A32,true
A32.7,Listeria sepsisi,Listerial septicaemia,A32,true
A32.8,Diğer listeriyozis formları,Other forms of listeriosis,A32,true
A32.9,"Listeriyozis, tanımlanmamış","Listeriosis, unspecified",A32,true
A33,Yenidoğan tetanozu,Tetanus neonatorum,A30-A49,true
A34,Obstetrik tetanoz,Obstetrical tetanus,A30-A49,true
A35,Diğer tetanoz,Other tetanus,A30-A49,true
A36,Difteri,,A30-A49,false
A36.0,Farenjiyal difteri,Pharyngeal diphtheria,A36,true
A36.1,Nazofarenjiyal difteri,Nasopharyngeal diphtheria,A36,true
A36.2,Larenjiyal difteri,Laryngeal diphtheria,A36,true
A36.3,Kutanöz difteri,Cutaneous diphtheria,A36,true
A36.8,Diğer difteri,Other diphtheria,A36,true
A36.9,"Difteri, tanımlanmamış","Diphtheria, unspecified",A36,true
A37,Boğmaca,,A30-A49,false
A37.0,Bordetella pertussis’e bağlı boğmaca,Whooping cough due to Bordetella pertussis,A37,true
A37.1,Bordetella parapertussis’e bağlı boğmaca,Whooping cough due to Bordetella parapertussis,A37,true
A37.8,Diğer Bordetella türlerine bağlı boğmaca,Whooping cough due to other Bordetella species,A37,true
A37.9,"Boğmaca, tanımlanmamış","Whooping cough, unspecified",A37,true
A38,Kızıl,Scarlet fever,A30-A49,true
A39,Meningokok enfeksiyonu,,A30-A49,false
A39.0,Meningokok menenjiti,Meningococcal meningitis,A39,true
A39.1,Waterhouse-Friderichsen sendromu (E35.1*),Waterhouse-Friderichsen syndrome,A39,true
A39.2,Akut meningokoksemi,Acute meningococcaemia,A39,true
A39.3,Kronik meningokoksemi,Chronic meningococcaemia,A39,true
A39.4,"Meningokoksemi, tanımlanmamış","Meningococcaemia, unspecified",A39,true
A39.5,Meningokok nedenli kalp hastalığı,Meningococcal heart disease,A39,true
A39.8,Diğer meningokok enfeksiyonları,Other meningococcal infections,A39,true
A39.9,"Meningokokal enfeksiyon, tanımlanmamış","Meningococcal infection, unspecified",A39,true
A40,Streptokok sepsisi,,A30-A49,false
A40.0,"Streptokoka bağlı septisemi, A grubu","Septicaemia due to streptococcus, group A",A40,true
A40.1,"Streptokoka bağlı septisemi, B grubu","Septicaemia due to streptococcus, group B",A40,true
A40.2,"Streptokoka bağlı septisemi, D grubu","Septicaemia due to streptococcus, group D",A40,true
A40.3,Streptococcus pneumoniae'ya bağlı sepsis,Septicaemia due to Streptococcus pneumoniae,A40,true
A40.8,Diğer streptokok septisemisi,Other streptococcal septicaemia,A40,true
A40.9,"Streptokok septisemisi, tanımlanmamış","Streptococcal septicaemia, unspecified",A40,true
A41,Diğer sepsis,,A30-A49,false
A41.0,Staphylococcus aureus'a bağlı sepsis,Septicaemia due to Staphylococcus aureus,A41,true
A41.1,Diğer tanımlanmış stafilokoklara bağlı sepsis,Septicaemia due to other specified staphylococcus,A41,true
A41.2,Tanımlanmamış stafilokoklara bağlı sepsis,Septicaemia due to unspecified staphylococcus,A41,true
A41.3,Haemophilus influenzae’ya bağlı sepsis,Septicaemia due to Haemophilus influenzae,A41,true
A41.4,Anaeoroblara bağlı sepsis,Septicaemia due to anaerobes,A41,true
A41.5,Diğer gram-negatif organizmalara bağlı septisemi,Septicaemia due to other Gram-negative organisms,A41,false
A41.50,Tanımlanmamış gram-negatif organizmalara bağlı sepsis,,A41.5,true
A41.51,Escherichia coli [E.coli]'ye bağlı sepsis,,A41.5,true
A41.52,Pseudomonas'a bağlı sepsis,,A41.5,true
A41.53,Acinetobacter'e bağlı sepsis,,A41.5,true
A41.54,Klebsiella'ya bağlı sepsis,,A41.5,true
A41.58,Diğer gram-negatif organizmalara bağlı sepsis,,A41.5,true
A41.8,Diğer tanımlanmış sepsis,Other specified septicaemia,A41,true
A41.9,"Sepsis, tanımlanmamış","Septicaemia, unspecified",A41,true
A42,Aktinomikoz,,A30-A49,false
A42.0,Pulmoner aktinomikoz,Pulmonary actinomycosis,A42,true
A42.1,Abdominal aktinomikoz,Abdominal actinomycosis,A42,true
A42.2,Servikofasiyal aktinomikoz,Cervicofacial actinomycosis,A42,true
A42.7,Aktinomikotik sepsis,Actinomycotic septicaemia,A42,true
A42.8,Diğer aktinomikoz formları,Other forms of actinomycosis,A42,true
A42.9,"Aktinomikoz, tanımlanmamış","Actinomycosis, unspecified",A42,true
A43,Nokardiyoz,,A30-A49,false
A43.0,Pulmoner nokardiyoz,Pulmonary nocardiosis,A43,true
A43.1,Kutanöz nokardiyoz,Cutaneous nocardiosis,A43,true
A43.8,Diğer nokardiyoz formları,Other forms of nocardiosis,A43,true
A43.9,"Nokardiyoz, tanımlanmamış","Nocardiosis, unspecified",A43,true
A44,Bartonelloz,,A30-A49,false
A44.0,Sistemik bartonelloz,Systemic bartonellosis,A44,true
A44.1,Kutanöz ve mükokutanöz bartonelloz,Cutaneous and mucocutaneous bartonellosis,A44,true
A44.8,Diğer bartonelloz formları,Other forms of bartonellosis,A44,true
A44.9,"Bartonelloz, tanımlanmamış","Bartonellosis, unspecified",A44,true
A46,Erizipel,Erysipelas,A30-A49,true
A48,"Diğer bakteriyel hastalıklar, başka yerde sınıflandırılmamış",,A30-A49,false
A48.0,Gazlı kangren,Gas gangrene,A48,true
A48.1,Lejyoner hastalığı,Legionnaires disease,A48,true
A48.2,Non-pnömonik Lejyoner hastalığı [Pontiac ateşi],Nonpneumonic Legionnaires disease [Pontiac fever],A48,true
A48.3,Toksik şok sendromu,Toxic shock syndrome,A48,true
A48.4,Brezilya purpurik ateşi,Brazilian purpuric fever,A48,true
A48.8,Diğer tanımlanmış bakteriyel hastalıklar,Other specified bacterial diseases,A48,true
A49,Tanımlanmamış bölgenin bakteriyel enfeksiyonu,,A30-A49,false
A49.0,"Stafilokok enfeksiyonu, tanımlanmamış","Staphylococcal infection, unspecified",A49,true
A49.1,"Streptokok enfeksiyonu, tanımlanmamış","Streptococcal infection, unspecified",A49,true
A49.2,"Haemophilus influenzae enfeksiyonu, tanımlanmamış","Haemophilus influenzae infection, unspecified",A49,true
A49.3,"Mikoplazma enfeksiyonu, tanımlanmamış","Mycoplasma infection, unspecified",A49,true
A49.8,Tanımlanmamış bölgenin diğer bakteriyel enfeksiyonları,Other bacterial infections of unspecified site,A49,true
A49.9,"Bakteriyel enfeksiyon, tanımlanmamış","Bacterial infection, unspecified",A49,true
A50-A64,Ağırlıklı olarak cinsel bulaşma gösteren enfeksiyonlar,,A00-B99,false
A50,Konjenital sifiliz,,A50-A64,false
A50.0,"Erken konjenital sifiliz, semptomatik","Early congenital syphilis, symptomatic",A50,true
A50.1,"Erken konjenital sifiliz, latent","Early congenital syphilis, latent",A50,true
A50.2,"Erken konjenital sifiliz, tanımlanmamış","Early congenital syphilis, unspecified",A50,true
A50.3,Geç konjenital sifilitik okülopati,Late congenital syphilitic oculopathy,A50,true
A50.4,Geç konjenital nörosifiliz [jüvenil nörosifiliz],Late congenital neurosyphilis [juvenile neurosyphilis],A50,true
A50.5,"Diğer geç konjenital sifiliz, semptomatik","Other late congenital syphilis, symptomatic",A50,true
A50.6,"Geç konjenital sifiliz, latent","Late congenital syphilis, latent",A50,true
A50.7,"Geç konjenital sifiliz, tanımlanmamış","Late congenital syphilis, unspecified",A50,true
A50.9,"Konjenital sifiliz, tanımlanmamış","Congenital syphilis, unspecified",A50,true
A51,Erken sifiliz,,A50-A64,false
A51.0,Primer genital sifiliz,Primary genital syphilis,A51,true
A51.1,Primer anal sifiliz,Primary anal syphilis,A51,true
A51.2,Diğer yerlerin primer sifilizi,Primary syphilis of other sites,A51,true
A51.3,Deri ve müköz membranların sekonder sifilizi,Secondary syphilis of skin and mucous membranes,A51,true
A51.4,Diğer sekonder sifiliz,Other secondary syphilis,A51,true
A51.5,"Erken sifiliz, latent","Early syphilis, latent",A51,true
A51.9,"Erken sifiliz, tanımlanmamış","Early syphilis, unspecified",A51,true
A52,Geç sifiliz,,A50-A64,false
A52.0,Kardiyovasküler sifiliz (I98.0*),Cardiovascular syphilis,A52,true
A52.1,Semptomatik nörosifiliz,Symptomatic neurosyphilis,A52,true
A52.2,Asemptomatik nörosifiliz,Asymptomatic neurosyphilis,A52,true
A52.3,"Nörosifiliz, tanımlanmamış","Neurosyphilis, unspecified",A52,true
A52.7,Diğer semptomatik geç sifiliz,Other symptomatic late syphilis,A52,true
A52.8,"Geç sifiliz, latent","Late syphilis, latent",A52,true
A52.9,"Geç sifiliz, tanımlanmamış","Late syphilis, unspecified",A52,true
A53,Diğer ve tanımlanmamış sifiliz,,A50-A64,false
A53.0,"Latent sifiliz, erken veya geç olarak tanımlanmamış","Latent syphilis, unspecified as early or late",A53,true
A53.9,"Sifiliz, tanımlanmamış","Syphilis, unspecified",A53,true
A54,Gonokok enfeksiyonu,,A50-A64,false
A54.0,Periüretral veya akseuar bez apsesi olmaksızın alt genitoüriner yolun gonokok enfeksiyonu,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,A54,true
A54.1,Periüretral veya akseuar bez apsesi ile birlikte alt genitoüriner yolun gonokok enfeksiyonu,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,A54,true
A54.2,Gonokok pelviperitonit ve diğer gonokok genitoüriner enfeksiyonları,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,A54,true
A54.3,Gözün gonokok enfeksiyonu,Gonococcal infection of eye,A54,true
A54.4,Kas-iskelet sisteminin gonokok enfeksiyonu,Gonococcal infection of musculoskeletal system,A54,true
A54.5,Gonokok farenjiti,Gonococcal pharyngitis,A54,true
A54.6,Anüs ve rektumun gonokok enfeksiyonu,Gonococcal infection of anus and rectum,A54,true
A54.8,Diğer gonokok enfeksiyonları,Other gonococcal infections,A54,true
A54.9,"Gonokok enfeksiyonu, tanımlanmamış","Gonococcal infection, unspecified",A54,true
A55,Klamidyal lenfogranüloma (venereum),Chlamydial lymphogranuloma (venereum),A50-A64,true
A56,Diğer cinsel yolla bulaşan klamidya hastalıkları,,A50-A64,false
A56.0,Alt genitoüriner yolun klamidya enfeksiyonu,Chlamydial infection of lower genitourinary tract,A56,true
A56.1,Pelviperiton ve diğer genitoüriner organların klamidya enfeksiyonu,Chlamydial infection of pelviperitoneum and other genitourinary organs,A56,true
A56.2,"Genitoüriner yolun klamidya enfeksiyonu, tanımlanmamış","Chlamydial infection of genitourinary tract, unspecified",A56,true
A56.3,Anüs ve rektumun klamidya enfeksiyonu,Chlamydial infection of anus and rectum,A56,true
A56.4,Farenksin klamidya enfeksiyonu,Chlamydial infection of pharynx,A56,true
A56.8,Diğer yerlerin cinsel yolla bulaşan klamidya enfeksiyonu,Sexually transmitted chlamydial infection of other sites,A56,true
A57,Şankroid,Chancroid,A50-A64,true
A58,Granüloma inguinale,Granuloma inguinale,A50-A64,true
A59,Trikomoniyaz,,A50-A64,false
A59.0,Ürogenital trikomoniyaz,Urogenital trichomoniasis,A59,true
A59.8,Diğer yerlerin trikomoniyazı,Trichomoniasis of other sites,A59,true
A59.9,"Trikomoniyaz, tanımlanmamış","Trichomoniasis, unspecified",A59,true
A60,Anogenital herpes virüs [herpes simpleks] enfeksiyonu,,A50-A64,false
A60.0,Genital bölgenin ve ürogenital yolun herpes virüs enfeksiyonu,Herpesviral infection of genitalia and urogenital tract,A60,true
A60.1,Perianal deri ve rektumun herpes virüs enfeksiyonu,Herpesviral infection of perianal skin and rectum,A60,true
A60.9,"Anogenital herpes virüs enfeksiyonu, tanımlanmamış","Anogenital herpesviral infection, unspecified",A60,true
A63,"Diğer çoğunlukla cinsel yolla bulaşan hastalıklar, başka yerde sınıflandırılmamış",,A50-A64,false
