atc_code,description_en,description_tr,description_tr_source
A02A,ANTACIDS,"kaolin, sodyum bikarbonat, kalsiyum karbonat",titck
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),,
A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,,
A03A,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,,
A03B,"BELLADONNA AND DERIVATIVES, PLAIN",,
A03C,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,,
A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,,
A03E,ANTISPASMODICS AND ANTICHOLINERGICS IN COMBINATION WITH OTHER DRUGS,,
A03F,PROPULSIVES,,
A04A,ANTIEMETICS AND ANTINAUSEANTS,,
A05A,BILE THERAPY,,
A05B,"LIVER THERAPY, LIPOTROPICS",,
A05C,DRUGS FOR BILE THERAPY AND LIPOTROPICS IN COMBINATION,,
A06A,DRUGS FOR CONSTIPATION,,
A07A,INTESTINAL ANTIINFECTIVES,,
A07B,INTESTINAL ADSORBENTS,,
A07C,ELECTROLYTES WITH CARBOHYDRATES,,
A07D,ANTIPROPULSIVES,,
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS,,
A07F,ANTIDIARRHEAL MICROORGANISMS,,
A07X,OTHER ANTIDIARRHEALS,,
A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",,
A09A,"DIGESTIVES, INCL. ENZYMES",pankreatin+safra ekstresi+aktif kömür,titck
A10A,INSULINS AND ANALOGUES,,
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",miglitol / metformin hcl,titck
A10X,OTHER DRUGS USED IN DIABETES,aspartam,titck
A11A,"MULTIVITAMINS, COMBINATIONS",,
A11B,"MULTIVITAMINS, PLAIN",,
A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",,
A11D,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",,
A11E,"VITAMIN B-COMPLEX, INCL. COMBINATIONS",,
A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",,
A11H,OTHER PLAIN VITAMIN PREPARATIONS,,
A11J,"OTHER VITAMIN PRODUCTS, COMBINATIONS",,
A12A,CALCIUM,,
A12B,POTASSIUM,,
A12C,OTHER MINERAL SUPPLEMENTS,other mineral supplements,titck
A13A,TONICS,,
A14A,ANABOLIC STEROIDS,,
A14B,OTHER ANABOLIC AGENTS,,
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,,
B01A,ANTITHROMBOTIC AGENTS,,
B02A,ANTIFIBRINOLYTICS,,
B02B,VITAMIN K AND OTHER HEMOSTATICS,,
B03A,IRON PREPARATIONS,,
B03B,VITAMIN B12 AND FOLIC ACID,,
B03X,OTHER ANTIANEMIC PREPARATIONS,,
B05A,BLOOD AND RELATED PRODUCTS,,
B05B,I.V. SOLUTIONS,,
B05C,IRRIGATING SOLUTIONS,"magnezyum, potasyum, kalsiyum glokokol kompleksi",titck
B05D,PERITONEAL DIALYTICS,"glukoz anhidr, sodyum klorür, sodyum laktat, kalsiyum klorür dihidrat, magnezyum klorür hekzahidrat",titck
B05X,I.V. SOLUTION ADDITIVES,,
B05Z,HEMODIALYTICS AND HEMOFILTRATES,hemodialytics and hemofiltrates,titck
B06A,OTHER HEMATOLOGICAL AGENTS,,
C01A,CARDIAC GLYCOSIDES,,
C01B,"ANTIARRHYTHMICS, CLASS I AND III",,
C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,,
C01D,VASODILATORS USED IN CARDIAC DISEASES,,
C01E,OTHER CARDIAC PREPARATIONS,,
C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",,
C02B,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",,
C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",,
C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",,
C02K,OTHER ANTIHYPERTENSIVES,,
C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,,
C02N,COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02,,
C03A,"LOW-CEILING DIURETICS, THIAZIDES",,
C03B,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",,
C03C,HIGH-CEILING DIURETICS,,
C03D,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,,
C03E,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,,
C03X,OTHER DIURETICS,,
C04A,PERIPHERAL VASODILATORS,,
C05A,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,,
C05B,ANTIVARICOSE THERAPY,,
C05C,CAPILLARY STABILIZING AGENTS,,
C05X,OTHER VASOPROTECTIVES,,
C07A,BETA BLOCKING AGENTS,,
C07B,BETA BLOCKING AGENTS AND THIAZIDES,nebivolol hci/amlodipin besilat/hidroklorotiyazid,titck
C07C,BETA BLOCKING AGENTS AND OTHER DIURETICS,,
C07D,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS",,
C07E,BETA BLOCKING AGENTS AND VASODILATORS,,
C07F,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",,
C08C,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,,
C08D,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,,
C08E,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,,
C08G,CALCIUM CHANNEL BLOCKERS AND DIURETICS,,
C09A,"ACE INHIBITORS, PLAIN",,
C09B,"ACE INHIBITORS, COMBINATIONS",,
C09C,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",,
C09D,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",,
C09X,OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,,
C10A,"LIPID MODIFYING AGENTS, PLAIN",pyridinoline carbamate,titck
C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",,
D01A,ANTIFUNGALS FOR TOPICAL USE,,
D01B,ANTIFUNGALS FOR SYSTEMIC USE,,
D02A,EMOLLIENTS AND PROTECTIVES,,
D02B,PROTECTIVES AGAINST UV-RADIATION,,
D03A,CICATRIZANTS,,
D03B,ENZYMES,,
D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",,
D05A,ANTIPSORIATICS FOR TOPICAL USE,,
D05B,ANTIPSORIATICS FOR SYSTEMIC USE,,
D06A,ANTIBIOTICS FOR TOPICAL USE,,
D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,,
D06C,"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS",,
D07A,"CORTICOSTEROIDS, PLAIN",,
D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",,
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",,
D07X,"CORTICOSTEROIDS, OTHER COMBINATIONS",,
D08A,ANTISEPTICS AND DISINFECTANTS,"dekualinyum klorür, bizmut subhidrat, aluminyum hidroksit",titck
D09A,MEDICATED DRESSINGS,,
D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,,
D10B,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,,
D11A,OTHER DERMATOLOGICAL PREPARATIONS,,
G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",,
G01B,ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS,,
G02A,UTEROTONICS,,
G02B,CONTRACEPTIVES FOR TOPICAL USE,,
G02C,OTHER GYNECOLOGICALS,,
G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,,
G03B,ANDROGENS,,
G03C,ESTROGENS,,
G03D,PROGESTOGENS,,
G03E,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,,
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,,
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,,
G03H,ANTIANDROGENS,,
G03X,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,,
G04B,UROLOGICALS,,
G04C,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,,
H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,,
H01B,POSTERIOR PITUITARY LOBE HORMONES,,
H01C,HYPOTHALAMIC HORMONES,,
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",,
H02B,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",,
H02C,ANTIADRENAL PREPARATIONS,,
H03A,THYROID PREPARATIONS,,
H03B,ANTITHYROID PREPARATIONS,,
H03C,IODINE THERAPY,,
H04A,GLYCOGENOLYTIC HORMONES,,
H05A,PARATHYROID HORMONES AND ANALOGUES,,
H05B,ANTI-PARATHYROID AGENTS,,
J01A,TETRACYCLINES,,
J01B,AMPHENICOLS,,
J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,
J01D,OTHER BETA-LACTAM ANTIBACTERIALS,,
J01E,SULFONAMIDES AND TRIMETHOPRIM,,
J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",,
J01G,AMINOGLYCOSIDE ANTIBACTERIALS,,
J01M,QUINOLONE ANTIBACTERIALS,,
J01R,COMBINATIONS OF ANTIBACTERIALS,,
J01X,OTHER ANTIBACTERIALS,,
J02A,ANTIMYCOTICS FOR SYSTEMIC USE,,
J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,,
J04B,DRUGS FOR TREATMENT OF LEPRA,,
J05A,DIRECT ACTING ANTIVIRALS,,
J06A,IMMUNE SERA,,
J06B,IMMUNOGLOBULINS,,
J07A,BACTERIAL VACCINES,,
J07B,VIRAL VACCINES,,
J07C,"BACTERIAL AND VIRAL VACCINES, COMBINED",,
J07X,OTHER VACCINES,,
L01A,ALKYLATING AGENTS,,
L01B,ANTIMETABOLITES,,
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,,
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,,
L01E,PROTEIN KINASE INHIBITORS,,
L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,,
L01X,OTHER ANTINEOPLASTIC AGENTS,,
L02A,HORMONES AND RELATED AGENTS,,
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS,,
L03A,IMMUNOSTIMULANTS,,
L04A,IMMUNOSUPPRESSANTS,,
M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",,
M01B,ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,,
M01C,SPECIFIC ANTIRHEUMATIC AGENTS,,
M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,,
M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",,
M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",,
M03C,"MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS",,
M04A,ANTIGOUT PREPARATIONS,,
M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,,
M09A,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,,
N01A,"ANESTHETICS, GENERAL",,
N01B,"ANESTHETICS, LOCAL",,
N02A,OPIOIDS,,
N02B,OTHER ANALGESICS AND ANTIPYRETICS,,
N02C,ANTIMIGRAINE PREPARATIONS,,
N03A,ANTIEPILEPTICS,,
N04A,ANTICHOLINERGIC AGENTS,,
N04B,DOPAMINERGIC AGENTS,,
N04C,OTHER ANTIPARKINSON DRUGS,,
N05A,ANTIPSYCHOTICS,,
N05B,ANXIOLYTICS,,
N05C,HYPNOTICS AND SEDATIVES,,
N06A,ANTIDEPRESSANTS,,
N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",,
N06C,PSYCHOLEPTICS AND PSYCHOANALEPTICS IN COMBINATION,,
N06D,ANTI-DEMENTIA DRUGS,,
N07A,PARASYMPATHOMIMETICS,,
N07B,DRUGS USED IN ADDICTIVE DISORDERS,,
N07C,ANTIVERTIGO PREPARATIONS,,
N07X,OTHER NERVOUS SYSTEM DRUGS,,
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,,
P01B,ANTIMALARIALS,,
P01C,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,,
P02B,ANTITREMATODALS,,
P02C,ANTINEMATODAL AGENTS,,
P02D,ANTICESTODALS,,
P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",,
P03B,INSECTICIDES AND REPELLENTS,,
R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,,
R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,,
R02A,THROAT PREPARATIONS,,
R03A,"ADRENERGICS, INHALANTS",,
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",,
R03C,ADRENERGICS FOR SYSTEMIC USE,,
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,,
R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",,
R05D,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",,
R05F,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",,
R05X,OTHER COLD PREPARATIONS,other cold preparations,titck
R06A,ANTIHISTAMINES FOR SYSTEMIC USE,,
R07A,OTHER RESPIRATORY SYSTEM PRODUCTS,,
S01A,ANTIINFECTIVES,,
S01B,ANTIINFLAMMATORY AGENTS,,
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,,
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,,
S01F,MYDRIATICS AND CYCLOPLEGICS,,
S01G,DECONGESTANTS AND ANTIALLERGICS,,
S01H,LOCAL ANESTHETICS,,
S01J,DIAGNOSTIC AGENTS,,
S01K,SURGICAL AIDS,,
S01L,OCULAR VASCULAR DISORDER AGENTS,,
S01X,OTHER OPHTHALMOLOGICALS,,
S02A,ANTIINFECTIVES,,
S02B,CORTICOSTEROIDS,,
S02C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,,
S02D,OTHER OTOLOGICALS,,
S03A,ANTIINFECTIVES,,
S03B,CORTICOSTEROIDS,,
S03C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,,
S03D,OTHER OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,,
V01A,ALLERGENS,,
V03A,ALL OTHER THERAPEUTIC PRODUCTS,,
V04B,URINE TESTS,,
V04C,OTHER DIAGNOSTIC AGENTS,,
V06A,DIET FORMULATIONS FOR TREATMENT OF OBESITY,,
V06B,PROTEIN SUPPLEMENTS,,
V06C,INFANT FORMULAS,other combinations of nutrients,titck
V06D,OTHER NUTRIENTS,,
V07A,ALL OTHER NON-THERAPEUTIC PRODUCTS,,
V08A,"X-RAY CONTRAST MEDIA, IODINATED",,
V08B,"X-RAY CONTRAST MEDIA, NON-IODINATED",,
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,,
V08D,ULTRASOUND CONTRAST MEDIA,,
V09A,CENTRAL NERVOUS SYSTEM,,
V09B,SKELETON,,
V09C,RENAL SYSTEM,,
V09D,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM,,
V09E,RESPIRATORY SYSTEM,,
V09F,THYROID,,
V09G,CARDIOVASCULAR SYSTEM,,
V09H,INFLAMMATION AND INFECTION DETECTION,,
V09I,TUMOUR DETECTION,,
V09X,OTHER DIAGNOSTIC RADIOPHARMACEUTICALS,,
V10A,ANTIINFLAMMATORY AGENTS,,
V10B,PAIN PALLIATION (BONE SEEKING AGENTS),,
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,,
A01AA,Caries prophylactic agents,,
A01AB,Antiinfectives and antiseptics for local oral treatment,povidon iyot,titck
A01AC,Corticosteroids for local oral treatment,"triamsinolon asetonit, diklofenak sodyum",titck
A01AD,Other agents for local oral treatment,kolin salisilat,titck
A02AA,Magnesium compounds,,
A02AB,Aluminium compounds,,
A02AC,Calcium compounds,,
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",,
A02AF,Antacids with antiflatulents,,
A02AG,Antacids with antispasmodics,,
A02AH,Antacids with sodium bicarbonate,sodyum bikarbonat,titck
A02AX,"Antacids, other combinations","kalsiyum karbonat, magnezyum karbonat, simetikon",titck
A02BA,H2-receptor antagonists,,
A02BB,Prostaglandins,,
A02BC,Proton pump inhibitors,ilaprazol,titck
A02BD,Combinations for eradication of Helicobacter pylori,,
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),,
A03AA,"Synthetic anticholinergics, esters with tertiary amino group",,
A03AB,"Synthetic anticholinergics, quaternary ammonium compounds",,
A03AC,"Synthetic antispasmodics, amides with tertiary amines",,
A03AD,Papaverine and derivatives,,
A03AE,Serotonin receptor antagonists,,
A03AX,Other drugs for functional gastrointestinal disorders,"valetamat bromür, parasetamol",titck
A03BA,"Belladonna alkaloids, tertiary amines",,
A03BB,"Belladonna alkaloids, semisynthetic, quaternary ammonium compounds",,
A03CA,Synthetic anticholinergic agents in combination with psycholeptics,,
A03CB,Belladonna and derivatives in combination with psycholeptics,hiyosin-n-butil bromid + medazepam,titck
A03CC,Other antispasmodics in combination with psycholeptics,,
A03DA,Synthetic anticholinergic agents in combination with analgesics,,
A03DB,Belladonna and derivatives in combination with analgesics,,
A03DC,Other antispasmodics in combination with analgesics,,
A03EA,"Antispasmodics, psycholeptics and analgesics in combination",,
A03ED,Antispasmodics in combination with other drugs,"n-difenil metil atropin bromür, dihidroksialuminyum aminoasetat",titck
A03FA,Propulsives,,
A04AA,Serotonin (5HT3) antagonists,,
A04AD,Other antiemetics,trimetobenzamid hcl,titck
A05AA,Bile acids and derivatives,bile acid preparations,titck
A05AB,Preparations for biliary tract therapy,,
A05AX,Other drugs for bile therapy,,
A05BA,Liver therapy,l-ornitin/l-aspartat,titck
A06AA,"Softeners, emollients",,
A06AB,Contact laxatives,,
A06AC,Bulk-forming laxatives,,
A06AD,Osmotically acting laxatives,,
A06AG,Enemas,,
A06AH,Peripheral opioid receptor antagonists,,
A06AX,Other drugs for constipation,,
A07AA,Antibiotics,,
A07AB,Sulfonamides,,
A07AC,Imidazole derivatives,,
A07AX,Other intestinal antiinfectives,,
A07BA,Charcoal preparations,,
A07BB,Bismuth preparations,bizmut subsalisilat,titck
A07BC,Other intestinal adsorbents,,
A07CA,Oral rehydration salt formulations,"sodyum klorür, trisodyum sitrat dihidrat, potasyum klorür ve glikoz anhidr",titck
A07DA,Antipropulsives,,
A07EA,Corticosteroids acting locally,,
A07EB,"Antiallergic agents, excl. corticosteroids",,
A07EC,Aminosalicylic acid and similar agents,,
A07FA,Antidiarrheal microorganisms,,
A07XA,Other antidiarrheals,,
A08AA,Centrally acting antiobesity products,,
A08AB,Peripherally acting antiobesity products,,
A08AX,Other antiobesity drugs,,
A09AA,Enzyme preparations,"pankeratin, hemisellülaz, safta ekstresi ve simetikon",titck
A09AB,Acid preparations,,
A09AC,"Enzyme and acid preparations, combinations",,
A10AB,"Insulins and analogues for injection, fast-acting",,
A10AC,"Insulins and analogues for injection, intermediate-acting",,
A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",,
A10AE,"Insulins and analogues for injection, long-acting",,
A10AF,Insulins and analogues for inhalation,,
A10BA,Biguanides,,
A10BB,Sulfonylureas,,
A10BC,Sulfonamides (heterocyclic),,
A10BD,Combinations of oral blood glucose lowering drugs,pioglitazon hci/alfa lipoik asit,titck
A10BF,Alpha glucosidase inhibitors,,
A10BG,Thiazolidinediones,,
A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,,
A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,,
A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,,
A10BX,"Other blood glucose lowering drugs, excl. insulins",,
A10XA,Aldose reductase inhibitors,,
A10XX,Other drugs used in diabetes,,
A11AA,Multivitamins with minerals,,
A11AB,"Multivitamins, other combinations",,
A11BA,"Multivitamins, plain","multivitamins, plain",titck
A11CA,"Vitamin A, plain",,
A11CB,Vitamin A and D in combination,vitamin a palmitat (retinol palmitat) 20.000 ıu/ml+vitamin d3,titck
A11CC,Vitamin D and analogues,,
A11DA,"Vitamin B1, plain",,
A11DB,Vitamin B1 in combination with vitamin B6 and/or vitamin B12,vitamin b1 in combination with vitamin b6 and/or vitamin b12,titck
A11EA,"Vitamin B-complex, plain","vitamin b-complex, plain",titck
A11EB,Vitamin B-complex with vitamin C,vitamin b-complex with vitamin c,titck
A11EC,Vitamin B-complex with minerals,,
A11ED,Vitamin B-complex with anabolic steroids,,
A11EX,"Vitamin B-complex, other combinations","b1 vitamini (tiamin hidroklorür), b6 vitamini (piridoksin hidroklorür), b12 vitamini (siyanokobalamin ), alfa lipoik asit (tioktik asit)",titck
A11GA,"Ascorbic acid (vitamin C), plain",,
A11GB,"Ascorbic acid (vitamin C), combinations","vitamin e , c",titck
A11HA,Other plain vitamin preparations,,
A11JA,Combinations of vitamins,"vitamin a palmitat, vitamin d3, vitamin c",titck
A11JB,Vitamins with minerals,"kalsiyum glukonat, kalsiyum laktat, kalsiyum fosfat tribazik, vitamin d3",titck
A11JC,"Vitamins, other combinations","multivitaminler, plain",titck
A12AA,Calcium,,
A12AX,"Calcium, combinations with vitamin D and/or other drugs",kalsiyum karbonat ve vitamin d3,titck
A12BA,Potassium,,
A12CA,Sodium,,
A12CB,Zinc,,
A12CC,Magnesium,magnesium,titck
A12CD,Fluoride,,
A12CE,Selenium,,
